id;name;parent_id;
14922;JAGUAR;14511
14923;LAMBRETTA;18091
14924;JIGSAW INTERNATIONAL;18091
14925;TRUSSARDI;14511
14926;REAL MADRID;18091
14927;JIMMY CHOO;14511
14928;FC BARCELONA;18091
14929;ATLETICO DE MADRID;18091
14930;DON ALGODÓN;18091
14932;VIKTOR & ROLF;14511
14934;KÉRASTASE;14511
14935;BENTLEY;14511
14936;SKEYNDOR ;14511
14938;ZADIG & VOLTAIRE;14511
14940;STAR WARS;18091
14941;ABERCROMBIE & FITCH;14511
14942;HOLLISTER;14511
14943;L'ORÉAL PARIS;14512
14944;REDKEN;14512
14945;ALTERNA;14512
14946;TIGI;14512
14947;COLLISTAR;14512
14948;AMERICAN CREW;14512
14950;LAB SERIES;14512
14951;SCHWARZKOPF;14512
14952;ICON;14512
14954;CLARINS;14512
14955;GIORGI LINE;18069
14956;SHISEIDO;14512
14957;SENSAI;14512
14958;INTRAGEN INSTITUTE;14512
14959;KÉRASTASE;14512
14960;NATURTINT ;18069
14961;ADOLFO DOMINGUEZ;14498
14962;ALVAREZ GÓMEZ;18048
18048;Perfumery;18027
14963;ALYSSA ASHLEY;14498
14964;ANGEL SCHLESSER;14498
14965;ARMAND BASI;14498
14966;GIORGIO ARMANI;14498
14967;AZZARO;14498
14968;BALENCIAGA;14498
14969;BRITNEY SPEARS;18048
14970;BVLGARI;14498
14971;BURBERRY;14498
14972;CACHAREL;14498
14973;CALVIN KLEIN;14498
14974;CAROLINA HERRERA;14498
14975;CARTIER;14498
14976;CERRUTI;14498
14977;CHOPARD;14498
14978;CLINIQUE;14498
14979;CUSTO;18048
14980;DAVIDOFF;14498
14981;DOLCE & GABBANA;14498
14982;DONNA KARAN;14498
14983;ED HARDY;18048
14984;ELIZABETH ARDEN;14498
14985;ESCADA;14498
14986;ESTÉE LAUDER;14498
14987;GIORGIO BEVERLY HILLS;14498
14988;GIVENCHY;14498
14989;GUCCI;14498
14990;GUERLAIN;14498
14991;GUY LAROCHE;14498
14992;PARFUMS GRÈS;14498
14993;HERMÈS;14498
14994;HUGO BOSS;14498
14995;ISSEY MIYAKE;14498
14996;JEAN PAUL GAULTIER;14498
14997;JENNIFER LOPEZ;14498
14998;HALLOWEEN;14498
14999;JIL SANDER;14498
15000;JOOP;14498
15001;JUICY COUTURE;14498
15002;KENZO;14498
15003;LACOSTE;14498
15004;LANCASTER;14498
15005;LANCÔME;14498
15006;LAURA BIAGIOTTI;14498
15007;LOEWE;14498
15008;LOLITA LEMPICKA;14498
15009;MARC JACOBS;14498
15010;MONTBLANC;14498
15011;MOSCHINO;14498
15012;NARCISO RODRIGUEZ;14498
15013;NINA RICCI;14498
15015;PACO RABANNE;14498
15016;VICTORIO & LUCCHINO;18048
15017;VIKTOR & ROLF;14498
15018;VERSACE;18048
15019;ROBERTO VERINO;14498
15020;GLORIA VANDERBILT;18048
15021;SLAVA ZAÏTSEV;18048
15022;VAN CLEEF & ARPELS;14498
15023;TOUS;14498
15024;TOMMY HILFIGER;14498
15025;TOM FORD;14498
15026;MUGLER;14498
15027;SHAKIRA;18048
15028;SARAH JESSICA PARKER;14498
15029;ROCHAS;14498
15030;ROBERTO CAVALLI;14498
15031;RALPH LAUREN;14498
15032;PRADA;14498
15033;PAUL SMITH;14498
15034;PALOMA PICASSO;14498
15036;BIOTHERM;14498
15037;HELENA RUBINSTEIN;14498
15038;LA PRAIRIE;14498
15039;SHISEIDO;14498
15040;SISLEY;14498
15041;L'OCCITANE;14498
15042;CHLOÉ;14498
15043;MASSIMO DUTTI;18048
15044;MANDARINA DUCK;14498
15045;OSCAR DE LA RENTA;14498
15046;YVES SAINT LAURENT;14498
15047;VIVIENNE WESTWOOD;14498
15048;4711;14498
15049;REVLON;14498
15050;ACQUA DI PARMA;14498
15051;BRUNO BANANI;18048
15052;DSQUARED2;14498
15053;ELIE SAAB;14498
15054;TARTINE ET CHOCOLAT;14498
15055;MICHAEL KORS;14498
15056;SWAROVSKI;14498
15057;DIOR;14498
15058;BOUCHERON ;14498
15059;LANVIN;14498
15060;VALENTINO;14498
15061;EL CHARRO;18048
15062;JOHN RICHMOND;18048
15063;KALOO;18048
15064;JEAN-LOUIS SCHERRER;14498
15065;AQUOLINA;14498
15066;ROGER & GALLET;14498
15067;MONSTER HIGH;18048
15069;CLARINS;14498
15070;BOTTEGA VENETA;14498
15071;GIANFRANCO FERRÉ;14498
15072;CARITA;14498
15073;ALBERTA FERRETTI;14498
15074;COURRÈGES;14498
15075;JUSTIN BIEBER;18048
15076;TRUSSARDI;14498
15077;EMANUEL UNGARO;14498
15078;PRANARÔM;18048
15079;MADONNA;18048
15080;SERGE LUTENS;14498
15081;TERRY DE GUNZBURG;14498
15082;RAMON MOLVIZAR;14498
15083;LADY GAGA;18048
15084;HELLO KITTY;18048
15085;MISS SIXTY;14498
15086;JIMMY CHOO;14498
15087;DAVID BECKHAM;18048
15088;SALVATORE FERRAGAMO;14498
15089;ONE DIRECTION;18048
15090;AGATHA RUIZ DE LA PRADA;18048
15091;BOURJOIS;18048
15092;ANGRY BIRDS;18048
15093;MARIAH CAREY;18048
15094;CREED;14498
15095;ATKINSONS;14498
15096;MONTANA;14498
15097;PLAYBOY;18048
15098;REPETTO PARIS;14498
15099;LALIQUE;14498
15100;REMINISCENCE;14498
15101;TED LAPIDUS;14498
15102;DISNEY;18048
15103;ALEJANDRO SANZ;18048
15104;PUIG;18048
15105;OILILY;18048
15106;VERA WANG;18048
15107;ADIDAS;18048
15108;SPONGE BOB;18048
15109;DAVID BISBAL;18048
15110;GURU;18048
15111;ANOUK;18048
15112;AGUA DE SEVILLA;18048
15113;ALQVIMIA;14498
15114;ANNE MÖLLER;14498
15115;LA PERLA;14498
15116;ANNA SUI;14498
15117;JAGUAR;14498
15118;FENDI;14498
15119;DESIGUAL;18048
15121;POMELLATO;14498
15122;BLUMARINE;14498
15123;BYBLOS;18048
15124;ICEBERG;18048
15125;LANCETTI;18048
15126;LEONARD PARIS;14498
15127;MALINA VASANTI;18048
15128;MAUBOUSSIN;18048
15129;MISTRAL;18048
15130;MORGAN;18048
15131;NAF NAF;14498
